vnu_id,subject_code,score,semester_id
19021212,INT1002,8,20201
19020001,INT1002,1,20201
19020002,INT1002,4,20201
19020003,INT1002,7,20201
19020004,INT1002,1,20201
19020005,INT1002,3,20201
19020006,INT1002,8,20201
19020007,INT1002,4,20201
19020008,INT1002,8,20201
19020009,INT1002,0,20201
19020010,INT1002,4,20201
19020011,INT1002,6,20201
19020012,INT1002,9,20201
19020013,INT1002,9,20201
19020014,INT1002,9,20201
19020015,INT1002,7,20201
19020016,INT1002,9,20202
19020017,INT1002,9,20202
19020018,INT1002,0,20202
19020019,INT1002,8,20202
19020020,INT1002,6,20202
19020021,INT1002,5,20202
19020022,INT1002,7,20202
19020023,INT1002,7,20202
19020024,INT1002,7,20202
19020025,INT1002,0,20202
19020026,INT1002,3,20202
19020027,INT1002,9,20202
19020028,INT1002,9,20202
19020029,INT1002,9,20202
19020030,INT1002,1,20202
19020031,INT1002,7,20202
19020032,INT1002,2,20202
19020033,INT1002,3,20202
19020034,INT1002,0,20202
19020035,INT1002,3,20202
19020036,INT1002,9,20202
19020037,INT1002,9,20202
19020038,INT1002,9,20202
19020039,INT1002,1,20202
19020040,INT1002,7,20202
19020041,INT1002,3,20202
19020042,INT1002,9,20202
19020043,INT1002,9,20202
19020044,INT1002,9,20202
19020045,INT1002,9,20202
19020046,INT1002,9,20202
19020047,INT1002,1,20202
19020048,INT1002,9,20202
19020049,INT1002,9,20202
19020050,INT1002,9,20202
19020051,INT1002,3,20202
19020052,INT1002,8,20202
19020053,INT1002,9,20202
19020054,INT1002,9,20202
19020055,INT1002,9,20202
19020056,INT1002,9,20202
19020057,INT1002,9,20202
19020058,INT1002,9,20202
19020059,INT1002,3,20202
19020060,INT1002,9,20202
